         13487382 function calls (13481689 primitive calls) in 50.777 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  262/250    0.002    0.000    0.161    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
        3    0.154    0.051    0.159    0.053 {built-in method pygame.display.set_mode}
      331    0.011    0.000    0.159    0.000 create_game.py:113(handle_events)
        2    0.000    0.000    0.154    0.077 create_game.py:110(quit_pygame)
       17    0.001    0.000    0.151    0.009 ui.py:18(__init__)
    24342    0.055    0.000    0.150    0.000 entity.py:105(draw)
   255808    0.145    0.000    0.145    0.000 rand_vec.py:33(<genexpr>)
     4840    0.017    0.000    0.138    0.000 random.py:173(getstate)
    39/37    0.000    0.000    0.137    0.004 <frozen importlib._bootstrap_external>:1291(create_module)
    39/37    0.098    0.003    0.136    0.004 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.128    0.128 markers.py:1(<module>)
        1    0.000    0.000    0.124    0.124 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.124    0.124 _parser.py:1(<module>)
     4840    0.121    0.000    0.121    0.000 {function Random.getstate at 0x000001E1B24A2CA0}
        1    0.000    0.000    0.119    0.119 _tokenizer.py:1(<module>)
        2    0.000    0.000    0.111    0.056 utils.py:1(<module>)
      577    0.023    0.000    0.110    0.000 entity.py:250(block_editing)
        8    0.000    0.000    0.110    0.014 ui.py:38(__init__)
        1    0.000    0.000    0.106    0.106 defmatrix.py:1(<module>)
      215    0.002    0.000    0.099    0.000 __init__.py:280(_compile)
       53    0.000    0.000    0.097    0.002 __init__.py:226(compile)
        1    0.000    0.000    0.096    0.096 _linalg.py:1(<module>)
  579/574    0.019    0.000    0.094    0.000 {built-in method builtins.__build_class__}
       54    0.001    0.000    0.094    0.002 _compiler.py:745(compile)
        1    0.000    0.000    0.093    0.093 parser.py:1(<module>)
     4841    0.027    0.000    0.091    0.000 random.py:135(seed)
        1    0.000    0.000    0.090    0.090 feedparser.py:1(<module>)
