         13487382 function calls (13481689 primitive calls) in 50.777 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 error.py:1(<module>)
      268    0.001    0.000    0.002    0.000 __init__.py:101(find_spec)
       14    0.000    0.000    0.002    0.000 typing.py:1291(__ror__)
      632    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:82(remove)
       43    0.000    0.000    0.002    0.000 typing.py:892(__init__)
     2080    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
     1418    0.002    0.000    0.002    0.000 {method 'collidepoint' of 'pygame.rect.Rect' objects}
     4545    0.002    0.000    0.002    0.000 {method 'isalnum' of 'str' objects}
      268    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:982(find_spec)
        3    0.000    0.000    0.002    0.001 sysconfig.py:188(_safe_realpath)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.002    0.002 <frozen posixpath>:1(<module>)
      206    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
        1    0.000    0.000    0.002    0.002 _arraysetops_impl.py:1(<module>)
     2482    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.002    0.002 string.py:69(__init_subclass__)
       43    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
        6    0.001    0.000    0.002    0.000 getlimits.py:35(__init__)
     1236    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        6    0.000    0.000    0.002    0.000 __init__.py:1877(_setup_prefix)
      108    0.001    0.000    0.002    0.000 enum.py:1556(__and__)
        1    0.000    0.000    0.002    0.002 api.py:1(<module>)
     1711    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     2012    0.001    0.000    0.002    0.000 _parser.py:256(match)
        1    0.000    0.000    0.002    0.002 __init__.py:436(PercentStyle)
        1    0.000    0.000    0.002    0.002 dataclasses.py:1247(dataclass)
      632    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.002    0.002 dataclasses.py:1264(wrap)
        1    0.000    0.000    0.002    0.002 ipaddress.py:2332(_IPv6Constants)
        1    0.000    0.000    0.002    0.002 dataclasses.py:921(_process_class)
       37    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
        1    0.002    0.002    0.002    0.002 api.py:14(PlatformDirsABC)
       35    0.000    0.000    0.002    0.000 ipaddress.py:2256(__init__)
       56    0.001    0.000    0.002    0.000 __init__.py:766(add)
        1    0.000    0.000    0.002    0.002 _elffile.py:1(<module>)
     1228    0.001    0.000    0.002    0.000 _parser.py:176(append)
        1    0.000    0.000    0.002    0.002 _polynomial_impl.py:1(<module>)
      343    0.001    0.000    0.002    0.000 enum.py:844(__setattr__)
     1450    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
        1    0.000    0.000    0.002    0.002 __init__.py:2708(EntryPoint)
      253    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        4    0.000    0.000    0.002    0.000 warnings.py:133(filterwarnings)
      268    0.002    0.000    0.002    0.000 {built-in method _imp.is_builtin}
     1041    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      632    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
       32    0.000    0.000    0.002    0.000 __init__.py:1762(_fn)
        1    0.000    0.000    0.002    0.002 _add_newdocs_scalars.py:1(<module>)
       25    0.000    0.000    0.002    0.000 dtypes.py:30(_add_dtype_helper)
      268    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
       12    0.000    0.000    0.002    0.000 typing.py:1855(__new__)
      311    0.000    0.000    0.002    0.000 function_base.py:473(_add_docstring)
       71    0.001    0.000    0.001    0.000 {built-in method pygame.transform.scale}
        1    0.000    0.000    0.001    0.001 _nanfunctions_impl.py:1(<module>)
      281    0.001    0.000    0.001    0.000 _compiler.py:403(_simple)
        1    0.000    0.000    0.001    0.001 request.py:935(AbstractBasicAuthHandler)
        4    0.001    0.000    0.001    0.000 {built-in method _io.open}
       66    0.001    0.000    0.001    0.000 enum.py:390(__setitem__)
      577    0.001    0.000    0.001    0.000 entity.py:273(<genexpr>)
        3    0.000    0.000    0.001    0.000 __init__.py:1675(has_resource)
     1011    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       56    0.000    0.000    0.001    0.000 <frozen ntpath>:268(basename)
     1041    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1434    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      244    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      914    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     1503    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       60    0.000    0.000    0.001    0.000 __init__.py:1859(_parents)
      501    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
       19    0.000    0.000    0.001    0.000 typing.py:1485(copy_with)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1569(_IPv4Constants)
      106    0.000    0.000    0.001    0.000 __init__.py:164(match)
     2821    0.001    0.000    0.001    0.000 typing.py:1273(<genexpr>)
        3    0.000    0.000    0.001    0.000 __init__.py:1902(get_resource_stream)
       56    0.000    0.000    0.001    0.000 __init__.py:1551(safe_name)
       11    0.000    0.000    0.001    0.000 typing.py:1575(__getitem__)
        3    0.000    0.000    0.001    0.000 typing.py:2888(__new__)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
  551/445    0.001    0.000    0.001    0.000 typing.py:1285(__hash__)
      119    0.000    0.000    0.001    0.000 enum.py:720(__call__)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
       56    0.000    0.000    0.001    0.000 version.py:234(__str__)
      271    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
       50    0.001    0.000    0.001    0.000 typing.py:361(_flatten_literal_params)
      640    0.001    0.000    0.001    0.000 {built-in method from_bytes}
       26    0.000    0.000    0.001    0.000 __init__.py:1678(_get_metadata_path)
       56    0.000    0.000    0.001    0.000 __init__.py:179(sub)
      268    0.001    0.000    0.001    0.000 {built-in method nt._path_splitroot}
        8    0.000    0.000    0.001    0.000 typing.py:1546(__getitem__)
     1967    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 _shape_base_impl.py:1(<module>)
      473    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        2    0.000    0.000    0.001    0.001 <frozen ntpath>:656(_getfinalpathname_nonstrict)
      929    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
       36    0.000    0.000    0.001    0.000 getlimits.py:112(_float_to_str)
      556    0.001    0.000    0.001    0.000 <frozen ntpath>:35(_get_bothseps)
1296/1153    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      180    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
       52    0.000    0.000    0.001    0.000 ipaddress.py:1920(__init__)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
     1967    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
      838    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 _distributor_init.py:1(<module>)
        8    0.000    0.000    0.001    0.000 typing.py:1476(__getitem__)
       30    0.001    0.000    0.001    0.000 {built-in method pygame.transform.flip}
       55    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      388    0.001    0.000    0.001    0.000 sysfont.py:48(_addfont)
       23    0.000    0.000    0.001    0.000 overrides.py:177(decorator)
        8    0.000    0.000    0.001    0.000 typing.py:1560(__getitem_inner__)
       10    0.000    0.000    0.001    0.000 functools.py:855(register)
        1    0.000    0.000    0.001    0.001 _twodim_base_impl.py:1(<module>)
      648    0.001    0.000    0.001    0.000 typing.py:1592(__eq__)
        1    0.000    0.000    0.001    0.001 pathlib.py:1022(read_text)
        1    0.001    0.001    0.001    0.001 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:258(WordSet)
       32    0.001    0.000    0.001    0.000 _compiler.py:391(_mk_bitmap)
      311    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
      342    0.001    0.000    0.001    0.000 enum.py:1538(_get_value)
      662    0.001    0.000    0.001    0.000 __init__.py:2368(__call__)
        1    0.000    0.000    0.001    0.001 __init__.py:3367(DistInfoDistribution)
        3    0.000    0.000    0.001    0.000 dataclasses.py:449(_create_fn)
        1    0.000    0.000    0.001    0.001 errors.py:1(<module>)
      632    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
     1283    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.001    0.001 __init__.py:1974(MemoizedZipManifests)
      103    0.000    0.000    0.001    0.000 _parser.py:312(_class_escape)
     1048    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1265    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      221    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:989(create_module)
      208    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
       18    0.000    0.000    0.001    0.000 __init__.py:2270(find_distributions)
      110    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
       25    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(exec_module)
       26    0.001    0.000    0.001    0.000 ui.py:57(set_slider_pos)
      311    0.000    0.000    0.001    0.000 function_base.py:455(_needs_add_docstring)
      238    0.000    0.000    0.001    0.000 __init__.py:2993(key)
       32    0.000    0.000    0.001    0.000 __init__.py:1772(_validate_resource_path)
      282    0.000    0.000    0.001    0.000 enum.py:38(_is_descriptor)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
       31    0.000    0.000    0.001    0.000 ipaddress.py:1286(__init__)
        1    0.000    0.000    0.001    0.001 pkgutil.py:1(<module>)
        9    0.000    0.000    0.001    0.000 enum.py:513(__prepare__)
      810    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      120    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
       15    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       15    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
      663    0.000    0.000    0.001    0.000 typing.py:1279(__eq__)
      357    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     1726    0.001    0.000    0.001    0.000 typing.py:781(<genexpr>)
        5    0.000    0.000    0.001    0.000 typing.py:747(Optional)
       57    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       35    0.000    0.000    0.001    0.000 ipaddress.py:1651(_ip_int_from_string)
      722    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
        1    0.000    0.000    0.001    0.001 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.001    0.001 perlin_noise.py:13(PerlinNoise)
       43    0.000    0.000    0.001    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
    347/1    0.001    0.000    0.001    0.001 __config__.py:19(_cleanup)
      105    0.000    0.000    0.001    0.000 typing.py:988(_is_unpacked_typevartuple)
      460    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
      307    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
      337    0.001    0.000    0.001    0.000 enum.py:48(_is_dunder)
      285    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      253    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
      291    0.001    0.000    0.001    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.001    0.001 _iotools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _musllinux.py:1(<module>)
       54    0.000    0.000    0.001    0.000 __init__.py:2661(_is_egg_path)
      647    0.001    0.000    0.001    0.000 typing.py:1629(_value_and_type_iter)
        1    0.000    0.000    0.001    0.001 getlimits.py:1(<module>)
      206    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
       22    0.000    0.000    0.001    0.000 ipaddress.py:1187(_ip_int_from_string)
       12    0.000    0.000    0.001    0.000 typing.py:1999(__init_subclass__)
        1    0.000    0.000    0.001    0.001 tools.py:1(<module>)
        3    0.001    0.000    0.001    0.000 {built-in method pygame.display.set_caption}
       54    0.000    0.000    0.001    0.000 typing.py:1004(_typevar_subst)
     1188    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      172    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      339    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      514    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 enum.py:857(_create_)
      240    0.000    0.000    0.001    0.000 types.py:192(__init__)
        1    0.000    0.000    0.001    0.001 numbers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _endian.py:1(<module>)
       56    0.000    0.000    0.001    0.000 version.py:523(_cmpkey)
        1    0.000    0.000    0.001    0.001 _adapters.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _histograms_impl.py:1(<module>)
      634    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
       36    0.000    0.000    0.001    0.000 getlimits.py:92(_float_to_float)
        8    0.000    0.000    0.001    0.000 typing.py:1542(copy_with)
       45    0.000    0.000    0.001    0.000 _parser.py:274(getuntil)
        4    0.000    0.000    0.000    0.000 typing.py:2219(get_type_hints)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
       18    0.000    0.000    0.000    0.000 pkgutil.py:212(get_importer)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
      225    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      311    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      307    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
       94    0.000    0.000    0.000    0.000 ui.py:54(is_hovered_over)
        1    0.000    0.000    0.000    0.000 __init__.py:91(_delvewheel_patch_1_10_0)
      562    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      228    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      227    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      906    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       82    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      460    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      226    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
      460    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       88    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
      336    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       44    0.000    0.000    0.000    0.000 <frozen ntpath>:51(normcase)
      328    0.000    0.000    0.000    0.000 typing.py:1634(__eq__)
      338    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:1005(open)
       82    0.000    0.000    0.000    0.000 __init__.py:3166(__getattr__)
       14    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       89    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
    68/52    0.000    0.000    0.000    0.000 _compiler.py:441(_get_literal_prefix)
      669    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       18    0.000    0.000    0.000    0.000 arrayprint.py:1685(_array_str_implementation)
       14    0.000    0.000    0.000    0.000 functools.py:521(decorating_function)
       19    0.000    0.000    0.000    0.000 enum.py:961(_get_mixins_)
       12    0.000    0.000    0.000    0.000 typing.py:1874(__init__)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 dataclasses.py:568(_init_fn)
        1    0.000    0.000    0.000    0.000 inspect.py:3343(signature)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:1656(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
       24    0.000    0.000    0.000    0.000 __init__.py:3522(_find_adapter)
        1    0.000    0.000    0.000    0.000 inspect.py:3081(from_callable)
        1    0.000    0.000    0.000    0.000 dataclasses.py:627(_repr_fn)
       26    0.000    0.000    0.000    0.000 utils.py:46(canonicalize_name)
      3/1    0.000    0.000    0.000    0.000 inspect.py:2501(_signature_from_callable)
      118    0.000    0.000    0.000    0.000 enum.py:1123(__new__)
      336    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
       46    0.000    0.000    0.000    0.000 <frozen ntpath>:87(isabs)
       19    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
        1    0.000    0.000    0.000    0.000 _structures.py:1(<module>)
       82    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       16    0.000    0.000    0.000    0.000 typing.py:1481(<genexpr>)
        6    0.000    0.000    0.000    0.000 numeric.py:2690(extend_all)
      269    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
       58    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       32    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      518    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        6    0.000    0.000    0.000    0.000 functools.py:803(singledispatch)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:1753(_get_protocol_attrs)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
        1    0.000    0.000    0.000    0.000 cursors.py:1(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:1002(_find_data_type_)
        1    0.000    0.000    0.000    0.000 calendar.py:60(Month)
        6    0.000    0.000    0.000    0.000 enum.py:1545(__or__)
       18    0.000    0.000    0.000    0.000 arrayprint.py:550(wrapper)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
      629    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
       70    0.000    0.000    0.000    0.000 __init__.py:2676(_is_unpacked_egg)
      265    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
       54    0.000    0.000    0.000    0.000 __init__.py:2668(_is_zip_egg)
       24    0.000    0.000    0.000    0.000 typing.py:1584(<genexpr>)
        1    0.000    0.000    0.000    0.000 dataclasses.py:661(_cmp_fn)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:614(_readlink_deep)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       43    0.000    0.000    0.000    0.000 _compiler.py:472(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        2    0.000    0.000    0.000    0.000 <frozen os>:1143(add_dll_directory)
       14    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
      216    0.000    0.000    0.000    0.000 version.py:207(<genexpr>)
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
        1    0.000    0.000    0.000    0.000 mixins.py:61(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 windows.py:1(<module>)
       78    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 _structures.py:35(NegativeInfinityType)
       54    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       36    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        3    0.000    0.000    0.000    0.000 <frozen os>:717(__setitem__)
       32    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       42    0.000    0.000    0.000    0.000 getlimits.py:102(_float_conv)
        1    0.000    0.000    0.000    0.000 _arraypad_impl.py:1(<module>)
      106    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:222(is_python_build)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       82    0.000    0.000    0.000    0.000 enum.py:779(__delattr__)
       54    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
       21    0.000    0.000    0.000    0.000 overrides.py:22(get_array_function_like_doc)
        2    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
    41/32    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 entity.py:231(__init__)
        1    0.000    0.000    0.000    0.000 readers.py:17(__init__)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
      131    0.000    0.000    0.000    0.000 typing.py:1320(<genexpr>)
      298    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 colordict.py:1(<module>)
       32    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
      216    0.000    0.000    0.000    0.000 version.py:247(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method nt.readlink}
        1    0.000    0.000    0.000    0.000 calendar.py:77(Day)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
    41/32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       36    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
        3    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
       11    0.000    0.000    0.000    0.000 _compiler.py:396(_bytes_to_codes)
      179    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 entity.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 functools.py:907(wrapper)
        1    0.000    0.000    0.000    0.000 recipes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fastevent.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        2    0.000    0.000    0.000    0.000 {built-in method nt._path_isfile}
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
       35    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.000    0.000 response.py:1(<module>)
      108    0.000    0.000    0.000    0.000 _compiler.py:575(isstring)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:731(parent)
        1    0.000    0.000    0.000    0.000 threading.py:1441(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1914(IPv6Address)
      384    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:445(_sanity_check)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1157(__init__)
        1    0.000    0.000    0.000    0.000 _elffile.py:28(EIData)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       18    0.000    0.000    0.000    0.000 functools.py:482(lru_cache)
       19    0.000    0.000    0.000    0.000 <frozen os>:783(encodekey)
        2    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        9    0.000    0.000    0.000    0.000 overrides.py:27(finalize_array_function_like)
       13    0.000    0.000    0.000    0.000 mixins.py:46(_numeric_methods)
        1    0.000    0.000    0.000    0.000 _globals.py:65(_CopyMode)
        4    0.000    0.000    0.000    0.000 ssl.py:399(__new__)
       50    0.000    0.000    0.000    0.000 _add_newdocs.py:6637(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 inspect.py:3297(__str__)
        2    0.000    0.000    0.000    0.000 enum.py:1408(_missing_)
        3    0.000    0.000    0.000    0.000 dataclasses.py:760(_get_field)
        1    0.000    0.000    0.000    0.000 ui.py:1(<module>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       44    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
        1    0.000    0.000    0.000    0.000 _elffile.py:33(EMachine)
        5    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
        1    0.000    0.000    0.000    0.000 _common.py:80(_)
        9    0.000    0.000    0.000    0.000 enum.py:1029(_find_new_)
      155    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      168    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _array_api_info.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:394(_ASN1Object)
       26    0.000    0.000    0.000    0.000 __init__.py:2576(fixup_namespace_packages)
        1    0.000    0.000    0.000    0.000 inspect.py:2397(_signature_from_function)
        1    0.000    0.000    0.000    0.000 __init__.py:73(import_module)
        1    0.000    0.000    0.000    0.000 typing.py:738(_make_union)
       14    0.000    0.000    0.000    0.000 functools.py:848(_is_valid_dispatch_type)
      130    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.000    0.000 __init__.py:343(__init__)
        1    0.000    0.000    0.000    0.000 requirements.py:1(<module>)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1678(_guarded_repr_or_str)
       24    0.000    0.000    0.000    0.000 typing.py:1569(<genexpr>)
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
